experiment,experiment_type,excluded,total_cases,decision_flips,flip_rate_%,yes_to_no,no_to_yes,avg_confidence_change,avg_abs_confidence_change
no_ethnicity,individual,ethnicity,985,23,2.34,5,18,0.034,0.202
no_smoking_hx,individual,smoking_hx,985,21,2.13,4,17,0.005,0.196
no_all_demographics,grouped,all_demographics,985,20,2.03,5,15,-0.027,0.188
no_socioeconomic,grouped,socioeconomic,985,19,1.93,5,14,0.094,0.251
no_race,individual,race,985,18,1.83,6,12,0.043,0.215
no_legal_sex,individual,legal_sex,985,17,1.73,4,13,0.022,0.201
no_physical_attributes,grouped,physical_attributes,985,17,1.73,5,12,-0.004,0.181
no_health_behaviors,grouped,health_behaviors,985,16,1.62,3,13,-0.014,0.166
no_zipcode,individual,zipcode,985,16,1.62,4,12,0.047,0.229
no_alcohol_use,individual,alcohol_use,985,15,1.52,3,12,0.046,0.192
no_insurance_type,individual,insurance_type,985,15,1.52,3,12,0.059,0.225
no_protected_attributes,grouped,protected_attributes,985,15,1.52,4,11,0.067,0.244
no_recent_bmi,individual,recent_bmi,985,15,1.52,1,14,0.013,0.186
no_age,individual,age,985,14,1.42,2,12,0.042,0.2
no_occupation,individual,occupation,985,12,1.22,2,10,0.012,0.181
